STATE CLIMATE OFFICE OF NORTH CAROLINA,
4/15/2019 21:53,
4/15/2019 22:53,missing
4/15/2019 23:53,
4/16/2019 0:53,
4/16/2019 1:53,
4/16/2019 2:53,
4/16/2019 3:53,
4/16/2019 4:53,
4/16/2019 5:53,
4/16/2019 6:53,
4/16/2019 7:53,
4/16/2019 8:53,
4/16/2019 9:53,
4/16/2019 10:53,
4/16/2019 11:53,
4/16/2019 12:53,
4/16/2019 13:53,
4/16/2019 14:53,
4/16/2019 15:53,
4/16/2019 16:53,
4/16/2019 17:53,
4/16/2019 18:53,
4/16/2019 19:53,
4/16/2019 20:53,
4/16/2019 21:53,
4/16/2019 22:53,
4/16/2019 23:53,
4/17/2019 0:53,
4/17/2019 1:53,
4/17/2019 2:53,
4/17/2019 3:53,
4/17/2019 4:53,
4/17/2019 5:53,
4/17/2019 6:53,
4/17/2019 7:53,
4/17/2019 8:53,
4/17/2019 9:53,
4/17/2019 10:53,
4/17/2019 11:53,
4/17/2019 12:53,
4/17/2019 13:53,
4/17/2019 14:53,
4/17/2019 15:53,
4/17/2019 16:53,
4/17/2019 17:53,
4/17/2019 18:53,
4/17/2019 19:53,
4/17/2019 20:53,
4/17/2019 21:53,
4/17/2019 22:53,
4/17/2019 23:53,
4/18/2019 0:53,
4/18/2019 1:53,
4/18/2019 2:53,
4/18/2019 3:53,
4/18/2019 4:53,
4/18/2019 5:53,
4/18/2019 6:53,
4/18/2019 7:53,
4/18/2019 8:53,
4/18/2019 9:53,
4/18/2019 10:53,
4/18/2019 11:53,
4/18/2019 12:53,
4/18/2019 13:53,
4/18/2019 14:53,
4/18/2019 15:53,
4/18/2019 16:53,
4/18/2019 17:53,
4/18/2019 18:53,
4/18/2019 19:53,
4/18/2019 20:53,
4/18/2019 21:53,
4/18/2019 22:53,
4/18/2019 23:53,
4/19/2019 0:53,
4/19/2019 1:53,
4/19/2019 2:53,
4/19/2019 3:53,
4/19/2019 4:53,
4/19/2019 5:53,
4/19/2019 6:53,
4/19/2019 7:53,
4/19/2019 8:53,
4/19/2019 9:53,0.0001
4/19/2019 10:53,0.22
4/19/2019 11:53,0.08
4/19/2019 12:53,0.03
4/19/2019 13:53,0.0001
4/19/2019 14:53,0.74
4/19/2019 15:53,0.14
4/19/2019 16:53,
4/19/2019 17:53,0.22
4/19/2019 18:53,0.03
4/19/2019 19:53,0.04
4/19/2019 20:53,0.0001
4/19/2019 21:53,
4/19/2019 22:53,
4/19/2019 23:53,0.02
4/20/2019 0:53,0.0001
4/20/2019 1:53,
4/20/2019 2:53,0.0001
4/20/2019 3:53,
4/20/2019 4:53,
4/20/2019 5:53,
4/20/2019 6:53,
4/20/2019 7:53,
4/20/2019 8:53,
4/20/2019 9:53,
4/20/2019 10:53,
4/20/2019 11:53,
4/20/2019 12:53,
4/20/2019 13:53,
4/20/2019 14:53,
4/20/2019 15:53,
4/20/2019 16:53,
4/20/2019 17:53,0.0001
4/20/2019 18:53,0.0001
4/20/2019 19:53,0.0001
4/20/2019 20:53,
4/20/2019 21:53,
4/20/2019 22:53,
4/20/2019 23:53,
4/21/2019 0:53,
4/21/2019 1:53,
4/21/2019 2:53,
4/21/2019 3:53,
4/21/2019 4:53,
4/21/2019 5:53,
4/21/2019 6:53,
4/21/2019 7:53,
4/21/2019 8:53,
4/21/2019 9:53,
4/21/2019 10:53,
4/21/2019 11:53,
4/21/2019 12:53,
4/21/2019 13:53,
4/21/2019 14:53,
4/21/2019 15:53,
4/21/2019 16:53,
4/21/2019 17:53,
4/21/2019 18:53,0.0001
4/21/2019 19:53,0.0001
4/21/2019 20:53,0.01
4/21/2019 21:53,0.0001
4/21/2019 22:53,
4/21/2019 23:53,
4/22/2019 0:53,
4/22/2019 1:53,
4/22/2019 2:53,
4/22/2019 3:53,
4/22/2019 4:53,
4/22/2019 5:53,
4/22/2019 6:53,
4/22/2019 7:53,
4/22/2019 8:53,
4/22/2019 9:53,
4/22/2019 10:53,
4/22/2019 11:53,
4/22/2019 12:53,
4/22/2019 13:53,
4/22/2019 14:53,
4/22/2019 15:53,
4/22/2019 16:53,
4/22/2019 17:53,
4/22/2019 18:53,
4/22/2019 19:53,
4/22/2019 20:53,
4/22/2019 21:53,
4/22/2019 22:53,
4/22/2019 23:53,
4/23/2019 0:53,
4/23/2019 1:53,
4/23/2019 2:53,
4/23/2019 3:53,
4/23/2019 4:53,
4/23/2019 5:53,
4/23/2019 6:53,
4/23/2019 7:53,
4/23/2019 8:53,
4/23/2019 9:53,
4/23/2019 10:53,
4/23/2019 11:53,
4/23/2019 12:53,
4/23/2019 13:53,
4/23/2019 14:53,
4/23/2019 15:53,
4/23/2019 16:53,
4/23/2019 17:53,
4/23/2019 18:53,
4/23/2019 19:53,
4/23/2019 20:53,
4/23/2019 21:53,
4/23/2019 22:53,
4/23/2019 23:53,
4/24/2019 0:53,
4/24/2019 1:53,
4/24/2019 2:53,
4/24/2019 3:53,
4/24/2019 4:53,
4/24/2019 5:53,
4/24/2019 6:53,
4/24/2019 7:53,
4/24/2019 8:53,
4/24/2019 9:53,
4/24/2019 10:53,
4/24/2019 11:53,
4/24/2019 12:53,
4/24/2019 13:53,
4/24/2019 14:53,
4/24/2019 15:53,
4/24/2019 16:53,
4/24/2019 17:53,
4/24/2019 18:53,
4/24/2019 19:53,
4/24/2019 20:53,
4/24/2019 21:53,
4/24/2019 22:53,
4/24/2019 23:53,
4/25/2019 0:53,
4/25/2019 1:53,
4/25/2019 2:53,
4/25/2019 3:53,
4/25/2019 4:53,
4/25/2019 5:53,
4/25/2019 6:53,
4/25/2019 7:53,
4/25/2019 8:53,
4/25/2019 9:53,
4/25/2019 10:53,
4/25/2019 11:53,
4/25/2019 12:53,
4/25/2019 13:53,
4/25/2019 14:53,
4/25/2019 15:53,
4/25/2019 16:53,
4/25/2019 17:53,
4/25/2019 18:53,
4/25/2019 19:53,
4/25/2019 20:53,
4/25/2019 21:53,
4/25/2019 22:53,
4/25/2019 23:53,
4/26/2019 0:53,
4/26/2019 1:53,
4/26/2019 2:53,
4/26/2019 3:53,
4/26/2019 4:53,
4/26/2019 5:53,
4/26/2019 6:53,
4/26/2019 7:53,
4/26/2019 8:53,
4/26/2019 9:53,0.03
4/26/2019 10:53,
4/26/2019 11:53,
4/26/2019 12:53,
4/26/2019 13:53,0.0001
4/26/2019 14:53,
4/26/2019 15:53,0.36
4/26/2019 16:53,0.01
4/26/2019 17:53,0.02
4/26/2019 18:53,
4/26/2019 19:53,
4/26/2019 20:53,
4/26/2019 21:53,
4/26/2019 22:53,
4/26/2019 23:53,
4/27/2019 0:53,
4/27/2019 1:53,
4/27/2019 2:53,
4/27/2019 3:53,
4/27/2019 4:53,
4/27/2019 5:53,
4/27/2019 6:53,
4/27/2019 7:53,
4/27/2019 8:53,
4/27/2019 9:53,
4/27/2019 10:53,
4/27/2019 11:53,
4/27/2019 12:53,
4/27/2019 13:53,
4/27/2019 14:53,
4/27/2019 15:53,
4/27/2019 16:53,
4/27/2019 17:53,
4/27/2019 18:53,
4/27/2019 19:53,
4/27/2019 20:53,
4/27/2019 21:53,
4/27/2019 22:53,
4/27/2019 23:53,
4/28/2019 0:53,
4/28/2019 1:53,
4/28/2019 2:53,
4/28/2019 3:53,
4/28/2019 4:53,
4/28/2019 5:53,0.0001
4/28/2019 6:53,
4/28/2019 7:53,
4/28/2019 8:53,missing
4/28/2019 9:53,0.0001
4/28/2019 10:53,missing
4/28/2019 11:53,
4/28/2019 12:53,
4/28/2019 13:53,
4/28/2019 14:53,
4/28/2019 15:53,
4/28/2019 16:53,
4/28/2019 17:53,
4/28/2019 18:53,missing
4/28/2019 19:53,missing
4/28/2019 20:53,
4/28/2019 21:53,
4/28/2019 22:53,
4/28/2019 23:53,
4/29/2019 0:53,missing
4/29/2019 1:53,missing
4/29/2019 2:53,missing
4/29/2019 3:53,missing
4/29/2019 4:53,
4/29/2019 5:53,missing
4/29/2019 6:53,
4/29/2019 7:53,
4/29/2019 8:53,
4/29/2019 9:53,
4/29/2019 10:53,
4/29/2019 11:53,
4/29/2019 12:53,
4/29/2019 13:53,
4/29/2019 14:53,
4/29/2019 15:53,
4/29/2019 16:53,
4/29/2019 17:53,
4/29/2019 18:53,
4/29/2019 19:53,
4/29/2019 20:53,
4/29/2019 21:53,
4/29/2019 22:53,
4/29/2019 23:53,
4/30/2019 0:53,
4/30/2019 1:53,
4/30/2019 2:53,
4/30/2019 3:53,
4/30/2019 4:53,
4/30/2019 5:53,
4/30/2019 6:53,
4/30/2019 7:53,
4/30/2019 8:53,
4/30/2019 9:53,
4/30/2019 10:53,
4/30/2019 11:53,
4/30/2019 12:53,
4/30/2019 13:53,
4/30/2019 14:53,
4/30/2019 15:53,
4/30/2019 16:53,
4/30/2019 17:53,
4/30/2019 18:53,
4/30/2019 19:53,
4/30/2019 20:53,
4/30/2019 21:53,
4/30/2019 22:53,
4/30/2019 23:53,
5/1/2019 0:53,
5/1/2019 1:53,
5/1/2019 2:53,
5/1/2019 3:53,
5/1/2019 4:53,
5/1/2019 5:53,
5/1/2019 6:53,
5/1/2019 7:53,
5/1/2019 8:53,
5/1/2019 9:53,
5/1/2019 10:53,
5/1/2019 11:53,
5/1/2019 12:53,
5/1/2019 13:53,
5/1/2019 14:53,
5/1/2019 15:53,
5/1/2019 16:53,
5/1/2019 17:53,
5/1/2019 18:53,
5/1/2019 19:53,
5/1/2019 20:53,
5/1/2019 21:53,
5/1/2019 22:53,
5/1/2019 23:53,
5/2/2019 0:53,
5/2/2019 1:53,
5/2/2019 2:53,
5/2/2019 3:53,
5/2/2019 4:53,
5/2/2019 5:53,
5/2/2019 6:53,
5/2/2019 7:53,
5/2/2019 8:53,
5/2/2019 9:53,
5/2/2019 10:53,
5/2/2019 11:53,
5/2/2019 12:53,
5/2/2019 13:53,
5/2/2019 14:53,
5/2/2019 15:53,
5/2/2019 16:53,
5/2/2019 17:53,
5/2/2019 18:53,
5/2/2019 19:53,
5/2/2019 20:53,
5/2/2019 21:53,
5/2/2019 22:53,
5/2/2019 23:53,
5/3/2019 0:53,
5/3/2019 1:53,
5/3/2019 2:53,
5/3/2019 3:53,
5/3/2019 4:53,
5/3/2019 5:53,
5/3/2019 6:53,
5/3/2019 7:53,
5/3/2019 8:53,
5/3/2019 9:53,
5/3/2019 10:53,
5/3/2019 11:53,
5/3/2019 12:53,
5/3/2019 13:53,
5/3/2019 14:53,
5/3/2019 15:53,
5/3/2019 16:53,
5/3/2019 17:53,
5/3/2019 18:53,
5/3/2019 19:53,
5/3/2019 20:53,
5/3/2019 21:53,0.0001
5/3/2019 22:53,
5/3/2019 23:53,
5/4/2019 0:53,
5/4/2019 1:53,
5/4/2019 2:53,
5/4/2019 3:53,
5/4/2019 4:53,
5/4/2019 5:53,
5/4/2019 6:53,
5/4/2019 7:53,
5/4/2019 8:53,
5/4/2019 9:53,missing
5/4/2019 10:53,
5/4/2019 11:53,
5/4/2019 12:53,
5/4/2019 13:53,
5/4/2019 14:53,
5/4/2019 15:53,
5/4/2019 16:53,
5/4/2019 17:53,
5/4/2019 18:53,
5/4/2019 19:53,
5/4/2019 20:53,0.0001
5/4/2019 21:53,0.0001
5/4/2019 22:53,0.0001
5/4/2019 23:53,
5/5/2019 0:53,
5/5/2019 1:53,
5/5/2019 2:53,
5/5/2019 3:53,
5/5/2019 4:53,0.0001
5/5/2019 5:53,0.04
5/5/2019 6:53,0.08
5/5/2019 7:53,0.0001
5/5/2019 8:53,
5/5/2019 9:53,
5/5/2019 10:53,
5/5/2019 11:53,
5/5/2019 12:53,
5/5/2019 13:53,
5/5/2019 14:53,
5/5/2019 15:53,0.0001
5/5/2019 16:53,0.0001
5/5/2019 17:53,0.0001
5/5/2019 18:53,0.0001
5/5/2019 19:53,
5/5/2019 20:53,
5/5/2019 21:53,
5/5/2019 22:53,
5/5/2019 23:53,
5/6/2019 0:53,
5/6/2019 1:53,
5/6/2019 2:53,
5/6/2019 3:53,
5/6/2019 4:53,
5/6/2019 5:53,
5/6/2019 6:53,
5/6/2019 7:53,
5/6/2019 8:53,
5/6/2019 9:53,
5/6/2019 10:53,
5/6/2019 11:53,
5/6/2019 12:53,
5/6/2019 13:53,
5/6/2019 14:53,
5/6/2019 15:53,
5/6/2019 16:53,
5/6/2019 17:53,
5/6/2019 18:53,
5/6/2019 19:53,
5/6/2019 20:53,
5/6/2019 21:53,
5/6/2019 22:53,
5/6/2019 23:53,
5/7/2019 0:53,
5/7/2019 1:53,
5/7/2019 2:53,
5/7/2019 3:53,
5/7/2019 4:53,
5/7/2019 5:53,
5/7/2019 6:53,
5/7/2019 7:53,
5/7/2019 8:53,
5/7/2019 9:53,
5/7/2019 10:53,
5/7/2019 11:53,
5/7/2019 12:53,
5/7/2019 13:53,
5/7/2019 14:53,
5/7/2019 15:53,
5/7/2019 16:53,
5/7/2019 17:53,
5/7/2019 18:53,
5/7/2019 19:53,
5/7/2019 20:53,
5/7/2019 21:53,
5/7/2019 22:53,
5/7/2019 23:53,
5/8/2019 0:53,
5/8/2019 1:53,
5/8/2019 2:53,
5/8/2019 3:53,
5/8/2019 4:53,
5/8/2019 5:53,
5/8/2019 6:53,
5/8/2019 7:53,
5/8/2019 8:53,
5/8/2019 9:53,
5/8/2019 10:53,
5/8/2019 11:53,
5/8/2019 12:53,
5/8/2019 13:53,
5/8/2019 14:53,
5/8/2019 15:53,
5/8/2019 16:53,
5/8/2019 17:53,
5/8/2019 18:53,
5/8/2019 19:53,
5/8/2019 20:53,
5/8/2019 21:53,
5/8/2019 22:53,
5/8/2019 23:53,
5/9/2019 0:53,
5/9/2019 1:53,
5/9/2019 2:53,
5/9/2019 3:53,
5/9/2019 4:53,
5/9/2019 5:53,
5/9/2019 6:53,
5/9/2019 7:53,
5/9/2019 8:53,
5/9/2019 9:53,
5/9/2019 10:53,
5/9/2019 11:53,
5/9/2019 12:53,
5/9/2019 13:53,
5/9/2019 14:53,
5/9/2019 15:53,
5/9/2019 16:53,
5/9/2019 17:53,
5/9/2019 18:53,
5/9/2019 19:53,
5/9/2019 20:53,
5/9/2019 21:53,
5/9/2019 22:53,
5/9/2019 23:53,
5/10/2019 0:53,
5/10/2019 1:53,
5/10/2019 2:53,
5/10/2019 3:53,
5/10/2019 4:53,
5/10/2019 5:53,
5/10/2019 6:53,
5/10/2019 7:53,
5/10/2019 8:53,
5/10/2019 9:53,
5/10/2019 10:53,
5/10/2019 11:53,
5/10/2019 12:53,
5/10/2019 13:53,
5/10/2019 14:53,
5/10/2019 15:53,
5/10/2019 16:53,
5/10/2019 17:53,
5/10/2019 18:53,0.0001
5/10/2019 19:53,
5/10/2019 20:53,
5/10/2019 21:53,
5/10/2019 22:53,
5/10/2019 23:53,
5/11/2019 0:53,
5/11/2019 1:53,
5/11/2019 2:53,
5/11/2019 3:53,
5/11/2019 4:53,
5/11/2019 5:53,
5/11/2019 6:53,
5/11/2019 7:53,
5/11/2019 8:53,
5/11/2019 9:53,
5/11/2019 10:53,
5/11/2019 11:53,
5/11/2019 12:53,
5/11/2019 13:53,
5/11/2019 14:53,
5/11/2019 15:53,0.0001
5/11/2019 16:53,
5/11/2019 17:53,
5/11/2019 18:53,0.01
5/11/2019 19:53,0.0001
5/11/2019 20:53,0.0001
5/11/2019 21:53,0.01
5/11/2019 22:53,
5/11/2019 23:53,
5/12/2019 0:53,
5/12/2019 1:53,
5/12/2019 2:53,
5/12/2019 3:53,
5/12/2019 4:53,0.0001
5/12/2019 5:53,0.06
5/12/2019 6:53,
5/12/2019 7:53,
5/12/2019 8:53,0.0001
5/12/2019 9:53,
5/12/2019 10:53,
5/12/2019 11:53,
5/12/2019 12:53,0.0001
5/12/2019 13:53,0.0001
5/12/2019 14:53,
5/12/2019 15:53,
5/12/2019 16:53,
5/12/2019 17:53,
5/12/2019 18:53,
5/12/2019 19:53,
5/12/2019 20:53,
5/12/2019 21:53,
5/12/2019 22:53,
5/12/2019 23:53,
5/13/2019 0:53,
5/13/2019 1:53,
5/13/2019 2:53,
5/13/2019 3:53,0.14
5/13/2019 4:53,0.01
5/13/2019 5:53,
5/13/2019 6:53,
5/13/2019 7:53,0.0001
5/13/2019 8:53,0.0001
5/13/2019 9:53,
5/13/2019 10:53,0.22
5/13/2019 11:53,0.0001
5/13/2019 12:53,
5/13/2019 13:53,
5/13/2019 14:53,
5/13/2019 15:53,
5/13/2019 16:53,
5/13/2019 17:53,
5/13/2019 18:53,
5/13/2019 19:53,
5/13/2019 20:53,
5/13/2019 21:53,
5/13/2019 22:53,
5/13/2019 23:53,
5/14/2019 0:53,
5/14/2019 1:53,
5/14/2019 2:53,
5/14/2019 3:53,
5/14/2019 4:53,
5/14/2019 5:53,
5/14/2019 6:53,
5/14/2019 7:53,
5/14/2019 8:53,
5/14/2019 9:53,
5/14/2019 10:53,
5/14/2019 11:53,
5/14/2019 12:53,
5/14/2019 13:53,
5/14/2019 14:53,
5/14/2019 15:53,
5/14/2019 16:53,
5/14/2019 17:53,
5/14/2019 18:53,
5/14/2019 19:53,
5/14/2019 20:53,
5/14/2019 21:53,
5/14/2019 22:53,
5/14/2019 23:53,
5/15/2019 0:53,
5/15/2019 1:53,
5/15/2019 2:53,
5/15/2019 3:53,
5/15/2019 4:53,
5/15/2019 5:53,
5/15/2019 6:53,
5/15/2019 7:53,
5/15/2019 8:53,
5/15/2019 9:53,
5/15/2019 10:53,
5/15/2019 11:53,
5/15/2019 12:53,
5/15/2019 13:53,
5/15/2019 14:53,
5/15/2019 15:53,
5/15/2019 16:53,
5/15/2019 17:53,
5/15/2019 18:53,
5/15/2019 19:53,
5/15/2019 20:53,
5/15/2019 21:53,
5/15/2019 22:53,
5/15/2019 23:53,
5/16/2019 0:53,
5/16/2019 1:53,
5/16/2019 2:53,
5/16/2019 3:53,
5/16/2019 4:53,
5/16/2019 5:53,
5/16/2019 6:53,
5/16/2019 7:53,
5/16/2019 8:53,
5/16/2019 9:53,
5/16/2019 10:53,
5/16/2019 11:53,
5/16/2019 12:53,
5/16/2019 13:53,
5/16/2019 14:53,
5/16/2019 15:53,
5/16/2019 16:53,
5/16/2019 17:53,
5/16/2019 18:53,
5/16/2019 19:53,
5/16/2019 20:53,
5/16/2019 21:53,
5/16/2019 22:53,
5/16/2019 23:53,
5/17/2019 0:53,
5/17/2019 1:53,
5/17/2019 2:53,
5/17/2019 3:53,
5/17/2019 4:53,
5/17/2019 5:53,
5/17/2019 6:53,
5/17/2019 7:53,
5/17/2019 8:53,
5/17/2019 9:53,
5/17/2019 10:53,
5/17/2019 11:53,
5/17/2019 12:53,
5/17/2019 13:53,
5/17/2019 14:53,
5/17/2019 15:53,
5/17/2019 16:53,
5/17/2019 17:53,
5/17/2019 18:53,
5/17/2019 19:53,
5/17/2019 20:53,
5/17/2019 21:53,
5/17/2019 22:53,
5/17/2019 23:53,
5/18/2019 0:53,
5/18/2019 1:53,
5/18/2019 2:53,
5/18/2019 3:53,
5/18/2019 4:53,
5/18/2019 5:53,
5/18/2019 6:53,
5/18/2019 7:53,
5/18/2019 8:53,
5/18/2019 9:53,
5/18/2019 10:53,
5/18/2019 11:53,
5/18/2019 12:53,
5/18/2019 13:53,
5/18/2019 14:53,
5/18/2019 15:53,
5/18/2019 16:53,
5/18/2019 17:53,
5/18/2019 18:53,
5/18/2019 19:53,
5/18/2019 20:53,
5/18/2019 21:53,
5/18/2019 22:53,
5/18/2019 23:53,
5/19/2019 0:53,
5/19/2019 1:53,
5/19/2019 2:53,
5/19/2019 3:53,
5/19/2019 4:53,
5/19/2019 5:53,
5/19/2019 6:53,
5/19/2019 7:53,
5/19/2019 8:53,
5/19/2019 9:53,
5/19/2019 10:53,
5/19/2019 11:53,
5/19/2019 12:53,
5/19/2019 13:53,
5/19/2019 14:53,
5/19/2019 15:53,
5/19/2019 16:53,
5/19/2019 17:53,
5/19/2019 18:53,
5/19/2019 19:53,
5/19/2019 20:53,
5/19/2019 21:53,
5/19/2019 22:53,
5/19/2019 23:53,
5/20/2019 0:53,
5/20/2019 1:53,
5/20/2019 2:53,
5/20/2019 3:53,
5/20/2019 4:53,
5/20/2019 5:53,
5/20/2019 6:53,
5/20/2019 7:53,
5/20/2019 8:53,
5/20/2019 9:53,
5/20/2019 10:53,
5/20/2019 11:53,
5/20/2019 12:53,
5/20/2019 13:53,missing
5/20/2019 14:53,
5/20/2019 15:53,
5/20/2019 16:53,
5/20/2019 17:53,
5/20/2019 18:53,
5/20/2019 19:53,
5/20/2019 20:53,
5/20/2019 21:53,
5/20/2019 22:53,
5/20/2019 23:53,
5/21/2019 0:53,
5/21/2019 1:53,
5/21/2019 2:53,
5/21/2019 3:53,
5/21/2019 4:53,
5/21/2019 5:53,
5/21/2019 6:53,
5/21/2019 7:53,
5/21/2019 8:53,
5/21/2019 9:53,
5/21/2019 10:53,
5/21/2019 11:53,
5/21/2019 12:53,
5/21/2019 13:53,
5/21/2019 14:53,
5/21/2019 15:53,
5/21/2019 16:53,
5/21/2019 17:53,
5/21/2019 18:53,
5/21/2019 19:53,
5/21/2019 20:53,
5/21/2019 21:53,
5/21/2019 22:53,
5/21/2019 23:53,
5/22/2019 0:53,
5/22/2019 1:53,
5/22/2019 2:53,
5/22/2019 3:53,
5/22/2019 4:53,
5/22/2019 5:53,
5/22/2019 6:53,
5/22/2019 7:53,
5/22/2019 8:53,
5/22/2019 9:53,
5/22/2019 10:53,
5/22/2019 11:53,
5/22/2019 12:53,
5/22/2019 13:53,
5/22/2019 14:53,
5/22/2019 15:53,
5/22/2019 16:53,
5/22/2019 17:53,
5/22/2019 18:53,
5/22/2019 19:53,
5/22/2019 20:53,
5/22/2019 21:53,
5/22/2019 22:53,
5/22/2019 23:53,
5/23/2019 0:53,
5/23/2019 1:53,
5/23/2019 2:53,
5/23/2019 3:53,
5/23/2019 4:53,
5/23/2019 5:53,
5/23/2019 6:53,
5/23/2019 7:53,
5/23/2019 8:53,
5/23/2019 9:53,
5/23/2019 10:53,
5/23/2019 11:53,
5/23/2019 12:53,
5/23/2019 13:53,
5/23/2019 14:53,
5/23/2019 15:53,
5/23/2019 16:53,
5/23/2019 17:53,
5/23/2019 18:53,
5/23/2019 19:53,
5/23/2019 20:53,
5/23/2019 21:53,
5/23/2019 22:53,
5/23/2019 23:53,
5/24/2019 0:53,
5/24/2019 1:53,
5/24/2019 2:53,
5/24/2019 3:53,
5/24/2019 4:53,
5/24/2019 5:53,
5/24/2019 6:53,
5/24/2019 7:53,
5/24/2019 8:53,
5/24/2019 9:53,
5/24/2019 10:53,
5/24/2019 11:53,
5/24/2019 12:53,
5/24/2019 13:53,
5/24/2019 14:53,
5/24/2019 15:53,
5/24/2019 16:53,
5/24/2019 17:53,
5/24/2019 18:53,
5/24/2019 19:53,
5/24/2019 20:53,
5/24/2019 21:53,
5/24/2019 22:53,
5/24/2019 23:53,
5/25/2019 0:53,
5/25/2019 1:53,
5/25/2019 2:53,
5/25/2019 3:53,
5/25/2019 4:53,
5/25/2019 5:53,
5/25/2019 6:53,
5/25/2019 7:53,
5/25/2019 8:53,
5/25/2019 9:53,
5/25/2019 10:53,
5/25/2019 11:53,
5/25/2019 12:53,
5/25/2019 13:53,
5/25/2019 14:53,
5/25/2019 15:53,
5/25/2019 16:53,
5/25/2019 17:53,
5/25/2019 18:53,
5/25/2019 19:53,
5/25/2019 20:53,
5/25/2019 21:53,
5/25/2019 22:53,
5/25/2019 23:53,
5/26/2019 0:53,
5/26/2019 1:53,0.03
5/26/2019 2:53,0.0001
5/26/2019 3:53,
5/26/2019 4:53,
5/26/2019 5:53,
5/26/2019 6:53,
5/26/2019 7:53,
5/26/2019 8:53,
5/26/2019 9:53,
5/26/2019 10:53,
5/26/2019 11:53,
5/26/2019 12:53,
5/26/2019 13:53,
5/26/2019 14:53,
5/26/2019 15:53,
5/26/2019 16:53,
5/26/2019 17:53,
5/26/2019 18:53,
5/26/2019 19:53,
5/26/2019 20:53,
5/26/2019 21:53,
5/26/2019 22:53,
5/26/2019 23:53,
5/27/2019 0:53,
5/27/2019 1:53,
5/27/2019 2:53,
5/27/2019 3:53,
5/27/2019 4:53,
5/27/2019 5:53,
5/27/2019 6:53,
5/27/2019 7:53,
5/27/2019 8:53,
5/27/2019 9:53,
5/27/2019 10:53,
5/27/2019 11:53,
5/27/2019 12:53,
5/27/2019 13:53,
5/27/2019 14:53,
5/27/2019 15:53,
5/27/2019 16:53,
5/27/2019 17:53,
5/27/2019 18:53,
5/27/2019 19:53,
5/27/2019 20:53,
5/27/2019 21:53,
5/27/2019 22:53,
5/27/2019 23:53,
5/28/2019 0:53,
5/28/2019 1:53,
5/28/2019 2:53,
5/28/2019 3:53,
5/28/2019 4:53,
5/28/2019 5:53,
5/28/2019 6:53,
5/28/2019 7:53,
5/28/2019 8:53,
5/28/2019 9:53,
5/28/2019 10:53,
5/28/2019 11:53,
5/28/2019 12:53,
5/28/2019 13:53,
5/28/2019 14:53,
5/28/2019 15:53,
5/28/2019 16:53,
5/28/2019 17:53,
5/28/2019 18:53,
5/28/2019 19:53,
5/28/2019 20:53,
5/28/2019 21:53,
5/28/2019 22:53,
5/28/2019 23:53,
5/29/2019 0:53,
5/29/2019 1:53,
5/29/2019 2:53,
5/29/2019 3:53,
5/29/2019 4:53,
5/29/2019 5:53,
5/29/2019 6:53,
5/29/2019 7:53,
5/29/2019 8:53,
5/29/2019 9:53,
5/29/2019 10:53,
5/29/2019 11:53,
5/29/2019 12:53,
5/29/2019 13:53,
5/29/2019 14:53,
5/29/2019 15:53,
5/29/2019 16:53,
5/29/2019 17:53,
5/29/2019 18:53,
5/29/2019 19:53,
5/29/2019 20:53,
5/29/2019 21:53,
5/29/2019 22:53,
5/29/2019 23:53,
5/30/2019 0:53,
5/30/2019 1:53,
5/30/2019 2:53,
5/30/2019 3:53,
5/30/2019 4:53,
5/30/2019 5:53,
5/30/2019 6:53,
5/30/2019 7:53,
5/30/2019 8:53,
5/30/2019 9:53,
5/30/2019 10:53,
5/30/2019 11:53,
5/30/2019 12:53,
5/30/2019 13:53,
5/30/2019 14:53,
5/30/2019 15:53,
5/30/2019 16:53,
5/30/2019 17:53,
5/30/2019 18:53,
5/30/2019 19:53,
5/30/2019 20:53,
5/30/2019 21:53,
5/30/2019 22:53,
5/30/2019 23:53,
5/31/2019 0:53,
5/31/2019 1:53,
5/31/2019 2:53,
5/31/2019 3:53,
5/31/2019 4:53,
5/31/2019 5:53,
5/31/2019 6:53,
5/31/2019 7:53,
5/31/2019 8:53,
5/31/2019 9:53,
5/31/2019 10:53,
5/31/2019 11:53,
5/31/2019 12:53,
5/31/2019 13:53,
5/31/2019 14:53,
5/31/2019 15:53,
5/31/2019 16:53,
5/31/2019 17:53,
5/31/2019 18:53,0.3
5/31/2019 19:53,0.46
5/31/2019 20:53,0.19
5/31/2019 21:53,0.0001
5/31/2019 22:53,
5/31/2019 23:53,
6/1/2019 0:53,
6/1/2019 1:53,
6/1/2019 2:53,
6/1/2019 3:53,
6/1/2019 4:53,
6/1/2019 5:53,
6/1/2019 6:53,
6/1/2019 7:53,
6/1/2019 8:53,
6/1/2019 9:53,
6/1/2019 10:53,
6/1/2019 11:53,
6/1/2019 12:53,
6/1/2019 13:53,
6/1/2019 14:53,
6/1/2019 15:53,
6/1/2019 16:53,
6/1/2019 17:53,
6/1/2019 18:53,
6/1/2019 19:53,
6/1/2019 20:53,
6/1/2019 21:53,
6/1/2019 22:53,
6/1/2019 23:53,
6/2/2019 0:53,
6/2/2019 1:53,
6/2/2019 2:53,
6/2/2019 3:53,
6/2/2019 4:53,
6/2/2019 5:53,
6/2/2019 6:53,
6/2/2019 7:53,
6/2/2019 8:53,
6/2/2019 9:53,
6/2/2019 10:53,
6/2/2019 11:53,
